时间t(s),路程s(m),速度v(m/s),加速度a(m/s^2),加加速度A(m/s^3)
0.0,0.0,0.0,0.0,0
0.002391320632063207,2.734092059209983e-07,0.00011434541479284508,0.04782163000000002,20
0.004782641264126414,1.0936368236839931e-06,0.0003430362443785352,0.09564326000000004,20
0.007173961896189621,2.7340920592099827e-06,0.0006860724887570704,0.14346489000000007,20
0.009565282528252828,5.4681841184199655e-06,0.0011434541479284507,0.19128652000000007,20
0.011956603160316034,9.569322207234939e-06,0.001715181221892676,0.23910815000000007,20
0.014347923792379242,1.5310915531575903e-05,0.0024012537106497464,0.2869297800000001,20
0.01673924442444245,2.2966373297363856e-05,0.0032016716141996617,0.3347514100000001,20
0.019130565056505656,3.280910471051979e-05,0.004116434932542422,0.3825730400000001,20
0.021521885688568863,4.511251897696471e-05,0.005145543665678027,0.4303946700000001,20
0.02391320632063207,6.015002530261962e-05,0.006288997813606478,0.4782163000000001,20
0.02630452695269528,7.819503289340551e-05,0.007546797376327774,0.5260379300000001,20
0.028695847584758485,9.952095095524337e-05,0.008918942353841915,0.5738595600000002,20
0.03108716821682169,0.0001244011886940542,0.0104054327461489,0.6216811900000002,20
0.0334784888488849,0.00015310915531575902,0.012006268553248732,0.6695028200000003,20
0.0358698094809481,0.0001859182600262788,0.013721449775141408,0.7173244500000003,20
0.03826113011301131,0.00022310191203153457,0.01555097641182693,0.7651460800000004,20
0.04065245074507452,0.0002649335205374473,0.017494848463305297,0.8129677100000005,20
0.043043771377137725,0.000311686494749938,0.019553065929576507,0.8607893400000005,20
0.045435092009200935,0.0003636342438749277,0.021725628810640565,0.9086109700000006,20
0.04782641264126414,0.0004210501771183373,0.024012537106497468,0.9564326000000006,20
0.05021773327332735,0.0004842077036860879,0.026413790817147214,1.0042542300000006,20
0.05260905390539056,0.0005533802327841005,0.028929389942589805,1.0520758600000006,20
0.05500037453745376,0.0006288411736182961,0.03155933448282524,1.0998974900000007,20
0.05739169516951697,0.0007108639353945955,0.03430362443785352,1.1477191200000008,20
0.05978301580158018,0.00079972192731892,0.03716225980767465,1.1955407500000008,20
0.06217433643364338,0.0008956885585971904,0.040135240592288624,1.2433623800000009,20
0.06456565706570659,0.0009990372384353278,0.04322256679169544,1.291184010000001,20
0.0669569776977698,0.001110041376039253,0.04642423840589511,1.339005640000001,20
0.06934829832983301,0.0012289743806148873,0.049740255434887616,1.386827270000001,20
0.0717396189618962,0.0013561096613681515,0.05317061787867297,1.4346489000000011,20
0.07413093959395942,0.0014917206275049666,0.05671532573725117,1.4824705300000012,20
